user_id,anime_uid,User_rating
20354,9253,10
3321,9253,8
20448,9253,10
3357,9253,8
14847,9253,10
86,9253,10
21641,9253,10
11300,9253,9
1261,9253,9
22409,9253,10
22412,9253,8
3755,9253,8
22414,9253,9
22415,9253,10
22417,9253,8
74,9253,7
5010,9253,9
2764,9253,7
22422,9253,6
22423,9253,9
11932,9253,10
3826,9253,9
22323,9253,10
1891,9253,10
2826,9253,10
2369,9253,9
8613,9253,10
22432,9253,8
22433,9253,10
22434,9253,10
20668,9253,10
966,9253,9
11071,9253,7
14829,9253,9
1744,9253,10
17229,9253,8
3712,9253,9
105,9253,10
24,9253,9
22446,9253,9
859,9253,9
11654,9253,7
3296,9253,10
15316,9253,10
3820,9253,8
10999,9253,9
781,9253,7
22458,9253,10
8065,9253,9
4012,9253,8
2107,9253,10
867,9253,8
22465,9253,8
1703,9253,10
1932,9253,9
22470,9253,8
19355,9253,9
5824,9253,10
3768,9253,9
22477,9253,10
9144,9253,10
22479,9253,9
6856,9253,10
10114,9253,8
22483,9253,9
526,9253,9
4344,9253,9
5625,9253,2
873,9253,9
22488,9253,8
1910,9253,9
1041,9253,10
1773,9253,9
1493,9253,10
6482,9253,9
387,9253,10
3995,9253,9
6295,9253,9
6200,9253,9
22505,9253,10
1057,9253,10
6862,9253,9
19480,9253,7
1978,9253,9
698,9253,9
370,9253,9
3777,9253,10
243,9253,9
5535,9253,10
5514,9253,7
22520,9253,10
1904,9253,10
371,9253,10
9579,9253,10
135,9253,10
22528,9253,10
80,9253,10
12230,9253,8
5229,9253,9
1979,9253,7
19109,9253,10
4466,9253,10
22536,9253,9
1290,9253,10
8158,9253,10
3261,9253,9
22540,9253,10
313,9253,10
22543,9253,8
6719,9253,10
1254,9253,7
4717,9253,10
6195,9253,10
2726,9253,10
3528,9253,9
6297,9253,10
22554,9253,10
22556,9253,8
22557,9253,10
10995,9253,9
2421,9253,10
10452,9253,7
2125,9253,10
87,9253,9
5566,9253,10
115,9253,9
3268,9253,9
5988,9253,9
11842,9253,10
56,9253,10
22571,9253,10
6187,9253,10
11149,9253,10
2569,9253,10
156,9253,10
699,9253,10
719,9253,10
22580,9253,10
1549,9253,10
4090,9253,10
2863,9253,10
5650,9253,10
